Year,BOM_id,Movie,W_01,W_02,W_03,W_04,W_05,W_06,W_07,W_08,W_09,W_10,W_11,W_12,W_13,W_14,W_15,W_16,W_17,W_18,W_19,W_20,W_21,W_22,W_23,W_24,W_25,W_26,W_27,W_28,W_29,W_30,W_31,W_32,W_33,W_34,W_35,W_36,W_37,W_38,W_39,W_40,W_41,W_42,W_43,W_44,W_45,W_46,W_47,W_48,W_49,W_50,W_51,W_52,T_01,T_02,T_03,T_04,T_05,T_06,T_07,T_08,T_09,T_10,T_11,T_12,T_13,T_14,T_15,T_16,T_17,T_18,T_19,T_20,T_21,T_22,T_23,T_24,T_25,T_26,T_27,T_28,T_29,T_30,T_31,T_32,T_33,T_34,T_35,T_36,T_37,T_38,T_39,T_40,T_41,T_42,T_43,T_44,T_45,T_46,T_47,T_48,T_49,T_50,T_51,T_52
16,thegirlonthetrain2016,The Girl on the Train (2016),34583595,17048735,10016150,6308885,3745765,2177975,780470,292540,192475,123475,77325,47645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34583595,51632330,61648480,67957365,71703130,73881105,74661575,74954115,75146590,75270065,75347390,75395035,75395035,75395035,75395035,75395035,75395035,75395035,75395035,75395035,75395035,75395035,75395035,75395035,75395035,75395035,75395035,75395035,75395035,75395035,75395035,75395035,75395035,75395035,75395035,75395035,75395035,75395035,75395035,75395035,75395035,75395035,75395035,75395035,75395035,75395035,75395035,75395035,75395035,75395035,75395035,75395035
16,storks,Storks,25011274,16657220,11875552,7085482,4830084,3507892,1308230,544801,281834,159273,250554,229022,283955,295225,247094,111786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25011274,41668494,53544046,60629528,65459612,68967504,70275734,70820535,71102369,71261642,71512196,71741218,72025173,72320398,72567492,72679278,72679278,72679278,72679278,72679278,72679278,72679278,72679278,72679278,72679278,72679278,72679278,72679278,72679278,72679278,72679278,72679278,72679278,72679278,72679278,72679278,72679278,72679278,72679278,72679278,72679278,72679278,72679278,72679278,72679278,72679278,72679278,72679278,72679278,72679278,72679278,72679278
16,newline0116,Lights Out,32067032,16642220,9205566,4705558,2178075,881827,770415,395367,259328,163447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32067032,48709252,57914818,62620376,64798451,65680278,66450693,66846060,67105388,67268835,67268835,67268835,67268835,67268835,67268835,67268835,67268835,67268835,67268835,67268835,67268835,67268835,67268835,67268835,67268835,67268835,67268835,67268835,67268835,67268835,67268835,67268835,67268835,67268835,67268835,67268835,67268835,67268835,67268835,67268835,67268835,67268835,67268835,67268835,67268835,67268835,67268835,67268835,67268835,67268835,67268835,67268835
16,allegiant,The Divergent Series: Allegiant,37105496,13554228,7569842,4411595,1762155,835808,373342,150326,117236,174173,129850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37105496,50659724,58229566,62641161,64403316,65239124,65612466,65762792,65880028,66054201,66184051,66184051,66184051,66184051,66184051,66184051,66184051,66184051,66184051,66184051,66184051,66184051,66184051,66184051,66184051,66184051,66184051,66184051,66184051,66184051,66184051,66184051,66184051,66184051,66184051,66184051,66184051,66184051,66184051,66184051,66184051,66184051,66184051,66184051,66184051,66184051,66184051,66184051,66184051,66184051,66184051,66184051
16,iceage5,Ice Age: Collision Course,31609623,17630174,7433474,3255019,1278439,699301,992010,327296,284596,215372,148188,100094,48805,27624,12993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31609623,49239797,56673271,59928290,61206729,61906030,62898040,63225336,63509932,63725304,63871492,63973586,64022391,64050015,64063008,64063008,64063008,64063008,64063008,64063008,64063008,64063008,64063008,64063008,64063008,64063008,64063008,64063008,64063008,64063008,64063008,64063008,64063008,64063008,64063008,64063008,64063008,64063008,64063008,64063008,64063008,64063008,64063008,64063008,64063008,64063008,64063008,64063008,64063008,64063008,64063008,64063008
16,londonhasfallen,London Has Fallen,28182052,15013768,9493037,4487115,2614141,1309093,430481,268561,193423,123627,189720,135798,83444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28182052,43195820,52688857,57175972,59790113,61099206,61529687,61798248,61991671,62115298,62305018,62440816,62524260,62524260,62524260,62524260,62524260,62524260,62524260,62524260,62524260,62524260,62524260,62524260,62524260,62524260,62524260,62524260,62524260,62524260,62524260,62524260,62524260,62524260,62524260,62524260,62524260,62524260,62524260,62524260,62524260,62524260,62524260,62524260,62524260,62524260,62524260,62524260,62524260,62524260,62524260,62524260
16,deepwaterhorizon,Deepwater Horizon,26768388,16216944,8660339,4614574,2908893,1021149,511374,227288,244085,152987,107506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26768388,42985332,51645671,56260245,59169138,60190287,60701661,60928949,61173034,61326021,61433527,61433527,61433527,61433527,61433527,61433527,61433527,61433527,61433527,61433527,61433527,61433527,61433527,61433527,61433527,61433527,61433527,61433527,61433527,61433527,61433527,61433527,61433527,61433527,61433527,61433527,61433527,61433527,61433527,61433527,61433527,61433527,61433527,61433527,61433527,61433527,61433527,61433527,61433527,61433527,61433527,61433527
16,mybigfatgreekwedding2,My Big Fat Greek Wedding 2,25363730,14969090,8502670,4439250,2912060,1455865,845225,695475,506240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25363730,40332820,48835490,53274740,56186800,57642665,58487890,59183365,59689605,59689605,59689605,59689605,59689605,59689605,59689605,59689605,59689605,59689605,59689605,59689605,59689605,59689605,59689605,59689605,59689605,59689605,59689605,59689605,59689605,59689605,59689605,59689605,59689605,59689605,59689605,59689605,59689605,59689605,59689605,59689605,59689605,59689605,59689605,59689605,59689605,59689605,59689605,59689605,59689605,59689605,59689605,59689605
16,fences,Fences,191515,19510629,16261120,7169098,4367322,1879925,2046411,1794707,1126242,1429319,1035497,426694,232233,96156,116036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191515,19702144,35963264,43132362,47499684,49379609,51426020,53220727,54346969,55776288,56811785,57238479,57470712,57566868,57682904,57682904,57682904,57682904,57682904,57682904,57682904,57682904,57682904,57682904,57682904,57682904,57682904,57682904,57682904,57682904,57682904,57682904,57682904,57682904,57682904,57682904,57682904,57682904,57682904,57682904,57682904,57682904,57682904,57682904,57682904,57682904,57682904,57682904,57682904,57682904,57682904,57682904
16,bfg,The BFG,31134762,12454849,6353446,1745228,808486,533767,473943,501138,425568,467488,212346,162993,114661,63104,31991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31134762,43589611,49943057,51688285,52496771,53030538,53504481,54005619,54431187,54898675,55111021,55274013,55388675,55451779,55483770,55483770,55483770,55483770,55483770,55483770,55483770,55483770,55483770,55483770,55483770,55483770,55483770,55483770,55483770,55483770,55483770,55483770,55483770,55483770,55483770,55483770,55483770,55483770,55483770,55483770,55483770,55483770,55483770,55483770,55483770,55483770,55483770,55483770,55483770,55483770,55483770,55483770
