,Movie_title,Year,Genre,Average_Rating,Tomatometer,RT_link,Audience_Rating,RT_link,IMDb,IMDb_link,Letterboxd,LB_link,Metascore,Ms_link
65,L.A. Confidential,1997,"Crime, Drama, Mystery, Thriller",89,99,https://www.rottentomatoes.com/m/la_confidential,94,https://www.rottentomatoes.com/m/la_confidential,83,https://www.imdb.com/title/tt0119488,81,https://flickmetrix.com/#,90,https://flickmetrix.com/#
66,Saving Private Ryan,1998,"Drama, War",89,93,https://www.rottentomatoes.com/m/saving_private_ryan/,95,https://www.rottentomatoes.com/m/saving_private_ryan/,86,https://www.imdb.com/title/tt0120815,83,https://flickmetrix.com/#,90,https://flickmetrix.com/#
67,The Wizard of Oz,1939,"Adventure, Family, Fantasy, Musical",89,98,https://www.rottentomatoes.com/m/the_wizard_of_oz_1939/,89,https://www.rottentomatoes.com/m/the_wizard_of_oz_1939/,80,https://www.imdb.com/title/tt0032138,80,https://flickmetrix.com/#,100,https://flickmetrix.com/#
68,Whiplash,2014,"Drama, Music",89,93,https://www.rottentomatoes.com/m/whiplash_2014/,94,https://www.rottentomatoes.com/m/whiplash_2014/,85,https://www.imdb.com/title/tt2582802,87,https://flickmetrix.com/#,88,https://flickmetrix.com/#
69,Sunrise,1927,"Drama, Romance",89,98,https://www.rottentomatoes.com/search/?search=Sunrise,92,https://www.rottentomatoes.com/search/?search=Sunrise,82,https://www.imdb.com/title/tt0018455,85,https://flickmetrix.com/#,,https://flickmetrix.com/#
70,The Apartment,1960,"Comedy, Drama, Romance",89,94,https://www.rottentomatoes.com/m/1001115_apartment?,94,https://www.rottentomatoes.com/m/1001115_apartment?,83,https://www.imdb.com/title/tt0053604,86,https://flickmetrix.com/#,,https://flickmetrix.com/#
71,The Red Shoes,1948,"Drama, Music, Romance",89,96,https://www.rottentomatoes.com/m/1017346_red_shoes?,92,https://www.rottentomatoes.com/m/1017346_red_shoes?,83,https://www.imdb.com/title/tt0040725,86,https://flickmetrix.com/#,,https://flickmetrix.com/#
72,Alien,1979,"Horror, Sci-Fi",89,97,https://www.rottentomatoes.com/m/alien/,94,https://www.rottentomatoes.com/m/alien/,85,https://www.imdb.com/title/tt0078748,87,https://flickmetrix.com/#,83,https://flickmetrix.com/#
73,Faces Places,2017,Documentary,89,100,https://www.rottentomatoes.com/search/?search=Faces%20Places,92,https://www.rottentomatoes.com/search/?search=Faces%20Places,79,https://www.imdb.com/title/tt5598102,81,https://flickmetrix.com/#,94,https://flickmetrix.com/#
74,Raiders of the Lost Ark,1981,"Action, Adventure",89,95,https://www.rottentomatoes.com/m/raiders_of_the_lost_ark/,96,https://www.rottentomatoes.com/m/raiders_of_the_lost_ark/,85,https://www.imdb.com/title/tt0082971,85,https://flickmetrix.com/#,85,https://flickmetrix.com/#
75,The Last Picture Show,1971,Drama,89,100,https://www.rottentomatoes.com/m/last_picture_show/,90,https://www.rottentomatoes.com/m/last_picture_show/,81,https://www.imdb.com/title/tt0067328,82,https://flickmetrix.com/#,93,https://flickmetrix.com/#
76,WALL·E,2008,"Animation, Adventure, Family, Sci-Fi",89,96,https://www.rottentomatoes.com/search/?search=WALL·E,89,https://www.rottentomatoes.com/search/?search=WALL·E,84,https://www.imdb.com/title/tt0910970,82,https://flickmetrix.com/#,95,https://flickmetrix.com/#
77,La Dolce Vita,1960,"Comedy, Drama",89,97,https://www.rottentomatoes.com/search/?search=La%20Dolce%20Vita,90,https://www.rottentomatoes.com/search/?search=La%20Dolce%20Vita,81,https://www.imdb.com/title/tt0053779,84,https://flickmetrix.com/#,93,https://flickmetrix.com/#
